#SampleID	MouseId	TSampleId	Treatment	TreatmentDate	TreatmentDateCat	TreatmentExt	MiSeqId2
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
75	Ampicillin_0.5_5	75_S75	Ampicillin_0.5	7/6/2018	706	Ampicillin_0.5_706	75
76	Ampicillin_0.5_6	76_S76	Ampicillin_0.5	7/6/2018	706	Ampicillin_0.5_706	76
77	Ampicillin_0.5_7	77_S77	Ampicillin_0.5	7/6/2018	706	Ampicillin_0.5_706	77
90	Ampicillin_0.5_2	90_S90	Ampicillin_0.5	7/19/2018	719	Ampicillin_0.5_719	90
36	Control_1	36_S36	Control	6/22/2018	622	Control_622	36
37	Control_2	37_S37	Control	6/22/2018	622	Control_622	37
38	Control_3	38_S38	Control	6/22/2018	622	Control_622	38
39	Control_4	39_S39	Control	6/22/2018	622	Control_622	39
40	Control_5	40_S40	Control	6/22/2018	622	Control_622	40
41	Control_6	41_S41	Control	6/22/2018	622	Control_622	41
42	Control_7	42_S42	Control	6/22/2018	622	Control_622	42
78	Control_1	78_S78	Control	7/6/2018	706	Control_706	78
79	Control_2	79_S79	Control	7/6/2018	706	Control_706	79
80	Control_3	80_S80	Control	7/6/2018	706	Control_706	80
81	Control_4	81_S81	Control	7/6/2018	706	Control_706	81
82	Control_5	82_S82	Control	7/6/2018	706	Control_706	82
83	Control_6	83_S83	Control	7/6/2018	706	Control_706	83
84	Control_7	84_S84	Control	7/6/2018	706	Control_706	84
91	Control_5	91_S91	Control	7/19/2018	719	Control_719	91
92	Radak_P	92_S92	Radak			Radak_	92
93	Radak_J	93_S93	Radak			Radak_	93
94	Radak_F	94_S94	Radak			Radak_	94
95	Radak_Kontroll	95_S95	Radak	6/20/2018		Radak_	95
96	EFB_OB_1	96_S96	EFB_OB			EFB_OB_	96
